Dataset,Model,Time
adult,Agarwal,371.8422716005
adult,Decision_Tree,0.5722281880000537
adult,FairMOE_0.0,157.1558457970002
adult,FairMOE_1.0,156.91926027900013
adult,FairMode,152.26248950950026
adult,Hardt,2.9203983849997712
adult,KNN,4.004599621499892
adult,LGBM,1.9156883599998764
adult,Logistic_Regression,0.3580455879998681
adult,MOE_0.0,93.92663044250003
adult,MOE_1.0,93.90534090300002
adult,Mode,152.26248950950026
adult,Naive_Bayes,0.0974798684999314
adult,Random_Forest,7.545569356499982
adult,XGB,49.92232434899984
adult,Zafar,1489.7441619295
adult,xFAIR,45.221919155999785
bank_marketing,Agarwal,122.83290454550024
bank_marketing,Decision_Tree,0.5547054244998435
bank_marketing,FairMOE_0.0,108.39866504200018
bank_marketing,FairMOE_1.0,107.78021673200055
bank_marketing,FairMode,100.46342976099959
bank_marketing,Hardt,2.3479858390001027
bank_marketing,KNN,2.805993765000494
bank_marketing,LGBM,1.9539562470008605
bank_marketing,Logistic_Regression,0.3381282205000389
bank_marketing,MOE_0.0,68.3878869059995
bank_marketing,MOE_1.0,68.21872408799982
bank_marketing,Mode,100.46342976099959
bank_marketing,Naive_Bayes,0.03759531149989925
bank_marketing,Random_Forest,9.172158737500467
bank_marketing,XGB,20.582432335500016
bank_marketing,Zafar,711.3429762780006
bank_marketing,xFAIR,29.41594705349962
credit_card_clients,Agarwal,94.61193473650019
credit_card_clients,Decision_Tree,0.5907487915001184
credit_card_clients,FairMOE_0.0,80.19718506400022
credit_card_clients,FairMOE_1.0,80.72771308849997
credit_card_clients,FairMode,78.0244238600003
credit_card_clients,Hardt,3.1657656184997904
credit_card_clients,KNN,1.843830754499777
credit_card_clients,LGBM,2.750716023500445
credit_card_clients,Logistic_Regression,0.4671477980000418
credit_card_clients,MOE_0.0,53.50810041800014
credit_card_clients,MOE_1.0,53.368316908
credit_card_clients,Mode,78.0244238600003
credit_card_clients,Naive_Bayes,0.04431649150001249
credit_card_clients,Random_Forest,8.967350842000087
credit_card_clients,XGB,10.080457731000024
credit_card_clients,Zafar,805.5053052399999
credit_card_clients,xFAIR,24.544638407000093
dutch_census,Agarwal,106.2308084
dutch_census,Decision_Tree,0.5536169599999994
dutch_census,FairMOE_0.0,96.9730776555
dutch_census,FairMOE_1.0,97.175279915
dutch_census,FairMode,92.434328155
dutch_census,Hardt,3.082965878999971
dutch_census,KNN,4.757501027999993
dutch_census,LGBM,1.9520595875000026
dutch_census,Logistic_Regression,0.3582890104999876
dutch_census,MOE_0.0,90.20910437749998
dutch_census,MOE_1.0,90.34994371900001
dutch_census,Mode,92.434328155
dutch_census,Naive_Bayes,0.06482761649999702
dutch_census,Random_Forest,7.868151630500009
dutch_census,XGB,35.931643815000015
dutch_census,Zafar,1025.922514139
dutch_census,xFAIR,17.1227237505
german_credit,Agarwal,22.67995902450002
german_credit,Decision_Tree,0.1337901460001376
german_credit,FairMOE_0.0,12.171511025999735
german_credit,FairMOE_1.0,12.17733311899974
german_credit,FairMode,12.062094488499952
german_credit,Hardt,0.6963089089995265
german_credit,KNN,0.13744148800014955
german_credit,LGBM,0.4416204495000784
german_credit,Logistic_Regression,0.006719927999711217
german_credit,MOE_0.0,11.524523349999527
german_credit,MOE_1.0,11.466663861500365
german_credit,Mode,12.062094488499952
german_credit,Naive_Bayes,0.004256330000316666
german_credit,Random_Forest,0.6190312695002831
german_credit,XGB,0.6532575299997916
german_credit,Zafar,12.62515833849966
german_credit,xFAIR,1.2321623029997681
lawschool,Agarwal,60.36322851500063
lawschool,Decision_Tree,0.2187163580001652
lawschool,FairMOE_0.0,46.4253153439995
lawschool,FairMOE_1.0,46.35260166650005
lawschool,FairMode,43.9501865705015
lawschool,Hardt,1.183457489501052
lawschool,KNN,0.6733130495003934
lawschool,LGBM,1.2328065555002468
lawschool,Logistic_Regression,0.10445076650012197
lawschool,MOE_0.0,31.369417973000964
lawschool,MOE_1.0,31.32200278250093
lawschool,Mode,43.9501865705015
lawschool,Naive_Bayes,0.010214052999799605
lawschool,Random_Forest,3.0692002804998992
lawschool,XGB,1.7770963994998965
lawschool,Zafar,91.71484027249971
lawschool,xFAIR,10.935957910999605
oulad,Agarwal,39.16358192650023
oulad,Decision_Tree,0.24569830349992117
oulad,FairMOE_0.0,31.3415027584997
oulad,FairMOE_1.0,31.28047563400014
oulad,FairMode,29.11246263799967
oulad,Hardt,1.3146729790005338
oulad,KNN,0.8537562254996374
oulad,LGBM,0.737535505500091
oulad,Logistic_Regression,0.082229158500013
oulad,MOE_0.0,28.852357735499936
oulad,MOE_1.0,29.031732402499074
oulad,Mode,29.11246263799967
oulad,Naive_Bayes,0.017817738000303507
oulad,Random_Forest,2.342621874499855
oulad,XGB,2.734336644501127
oulad,Zafar,139.9974970534995
oulad,xFAIR,5.63325807000092
